Image,Name,Price,Exchange offer,Offers,Description,Date & Time
https://rukminim2.flixcart.com/image/416/416/kdhphu80/mobile/c/g/w/samsung-note-20-canvas-sm-n980fzggins-original-imafudkffthvs8zd.jpeg?q=70&crop=false,"SAMSUNG Galaxy Note 20 (Mystic Green, 256 GB)  (8 GB RAM)","₹86,000","E, 
x, 
c, 
h, 
a, 
n, 
g, 
e, 
 , 
O, 
f, 
f, 
e, 
r, 
 , 
n, 
o, 
t, 
 , 
a, 
v, 
a, 
i, 
l, 
a, 
b, 
l, 
e","O, 
f, 
f, 
e, 
r, 
s, 
 , 
n, 
o, 
t, 
 , 
a, 
v, 
a, 
i, 
l, 
a, 
b, 
l, 
e","8 GB RAM | 256 GB ROM, 
17.02 cm (6.7 inch) Full HD+ Display, 
64MP + 12MP + 12MP | 10MP Front Camera, 
4300 mAh Lithium-ion Battery, 
Exynos Octa Core Processor",31/05/2024 13:02:31
https://rukminim2.flixcart.com/image/416/416/kdxfc7k0/mobile/u/a/z/samsung-galaxy-note-20-sm-n980fzbgins-original-imafuq7pxeyqhkkx.jpeg?q=70&crop=false,"SAMSUNG Galaxy Note 20 (Mystic Blue, 256 GB)  (8 GB RAM)","₹86,000","E, 
x, 
c, 
h, 
a, 
n, 
g, 
e, 
 , 
O, 
f, 
f, 
e, 
r, 
 , 
n, 
o, 
t, 
 , 
a, 
v, 
a, 
i, 
l, 
a, 
b, 
l, 
e","O, 
f, 
f, 
e, 
r, 
s, 
 , 
n, 
o, 
t, 
 , 
a, 
v, 
a, 
i, 
l, 
a, 
b, 
l, 
e","8 GB RAM | 256 GB ROM, 
17.02 cm (6.7 inch) Full HD+ Display, 
64MP + 12MP + 12MP | 10MP Front Camera, 
4300 mAh Lithium-ion Battery, 
Exynos Octa Core Processor",31/05/2024 13:02:34
